date,psi_T8_C,psi_T8_B,psi_T8_A,temp_T8_C,temp_T8_B,temp_T8_A
2013-06-11 00:00:00,100,100,100,23.71,24.1,23.65
2013-06-11 00:15:00,100,100,100,23.71,24.1,23.65
2013-06-11 00:30:00,100,100,100,23.71,24.1,23.65
2013-06-11 00:45:00,100,100,100,23.71,24.1,23.58
2013-06-11 01:00:00,100,100,100,23.71,24.13,23.58
2013-06-11 01:15:00,100,100,100,23.71,24.13,23.58
2013-06-11 01:30:00,100,100,100,23.71,24.13,23.51
2013-06-11 01:45:00,100,100,100,23.71,24.13,23.51
2013-06-11 02:00:00,100,100,100,23.71,24.13,23.51
2013-06-11 02:15:00,100,100,100,23.71,24.13,23.51
2013-06-11 02:30:00,100,100,100,23.72,24.13,23.45
2013-06-11 02:45:00,100,100,100,23.72,24.13,23.45
2013-06-11 03:00:00,100,100,100,23.72,24.14,23.46
2013-06-11 03:15:00,100,100,100,23.72,24.14,23.45
2013-06-11 03:30:00,100,100,100,23.72,24.14,23.39
2013-06-11 03:45:00,100,100,100,23.72,24.16,23.38
2013-06-11 04:00:00,100,100,100,23.72,24.16,23.38
2013-06-11 04:15:00,100,100,100,23.72,24.16,23.39
2013-06-11 04:30:00,100,100,100,23.73,24.17,23.33
2013-06-11 04:45:00,100,100,100,23.73,24.17,23.33
2013-06-11 05:00:00,100,100,100,23.73,24.17,23.33
2013-06-11 05:15:00,100,100,100,23.73,24.17,23.26
2013-06-11 05:30:00,100,100,100,23.73,24.17,23.26
2013-06-11 05:45:00,100,100,100,23.73,24.17,23.26
2013-06-11 06:00:00,100,100,100,23.79,24.16,23.25
2013-06-11 06:15:00,100,100,100,23.75,24.16,23.21
2013-06-11 06:30:00,100,100,100,23.78,24.15,23.18
2013-06-11 06:45:00,100,100,100,23.75,24.15,23.18
2013-06-11 07:00:00,100,100,100,23.78,24.15,23.18
2013-06-11 07:15:00,100,100,100,23.78,24.15,23.11
2013-06-11 07:30:00,100,100,100,23.78,24.15,23.11
2013-06-11 07:45:00,100,100,100,23.78,24.15,23.11
2013-06-11 08:00:00,100,100,100,23.78,24.15,23.11
2013-06-11 08:15:00,100,100,100,23.78,24.15,23.11
2013-06-11 08:30:00,100,100,100,23.78,24.15,23.07
2013-06-11 08:45:00,100,100,100,23.77,24.14,23.03
2013-06-11 09:00:00,100,100,100,23.77,24.14,23.03
2013-06-11 09:15:00,100,100,100,23.76,24.14,23.03
2013-06-11 09:30:00,100,100,100,23.76,24.14,23.03
2013-06-11 09:45:00,100,100,100,23.76,24.14,23.03
2013-06-11 10:00:00,100,100,100,23.76,24.14,22.99
2013-06-11 10:15:00,100,100,100,23.75,24.13,22.95
2013-06-11 10:30:00,100,100,100,23.75,24.12,22.95
2013-06-11 10:45:00,100,100,100,23.75,24.09,22.94
2013-06-11 11:00:00,100,100,100,23.74,24.13,22.94
2013-06-11 11:15:00,100,100,100,23.75,24.12,22.94
2013-06-11 11:30:00,100,100,100,23.74,24.12,22.94
2013-06-11 11:45:00,100,100,100,23.74,24.09,22.94
2013-06-11 12:00:00,100,100,100,23.74,24.12,23.01
2013-06-11 12:15:00,100,100,100,23.74,24.09,22.94
2013-06-11 12:30:00,100,100,100,23.74,24.09,22.94
2013-06-11 12:45:00,100,100,100,23.74,24.09,22.94
2013-06-11 13:00:00,100,100,100,23.74,24.09,22.94
2013-06-11 13:15:00,100,100,100,23.74,24.09,22.97
2013-06-11 13:30:00,100,100,100,23.74,24.08,23.01
2013-06-11 13:45:00,100,100,100,23.74,24.06,23.01
2013-06-11 14:00:00,100,100,100,23.74,24.06,23.01
2013-06-11 14:15:00,100,100,100,23.74,24.06,23.01
2013-06-11 14:30:00,100,100,100,23.74,24.06,23.01
2013-06-11 14:45:00,100,100,100,23.75,24.07,23.01
2013-06-11 15:00:00,100,100,100,23.75,24.07,23.02
2013-06-11 15:15:00,100,100,100,23.76,24.06,23.03
2013-06-11 15:30:00,100,100,100,23.77,24.06,23.03
2013-06-11 15:45:00,100,100,100,23.78,24.07,23.11
2013-06-11 16:00:00,100,100,100,23.78,24.06,23.11
2013-06-11 16:15:00,100,100,100,23.78,24.05,23.11
2013-06-11 16:30:00,100,100,100,23.78,24.05,23.11
2013-06-11 16:45:00,100,100,100,23.78,24.05,23.11
2013-06-11 17:00:00,100,100,100,23.78,24.05,23.14
2013-06-11 17:15:00,100,100,100,23.75,24.05,23.24
2013-06-11 17:30:00,100,100,100,23.75,24.05,23.24
2013-06-11 17:45:00,100,100,100,23.78,24.05,23.24
2013-06-11 18:00:00,100,100,100,23.75,24.05,23.18
2013-06-11 18:15:00,100,100,100,23.78,24.05,23.18
2013-06-11 18:30:00,100,100,100,23.71,24.05,23.24
2013-06-11 18:45:00,100,100,100,23.78,24.05,23.24
2013-06-11 19:00:00,100,100,100,23.71,24.05,23.24
2013-06-11 19:15:00,100,100,100,23.71,24.02,23.24
2013-06-11 19:30:00,100,100,100,23.71,24.02,23.24
2013-06-11 19:45:00,100,100,100,23.71,24.02,23.24
2013-06-11 20:00:00,100,100,100,23.71,24.03,23.24
2013-06-11 20:15:00,100,100,100,23.71,24.02,23.24
2013-06-11 20:30:00,100,100,100,23.71,24.02,23.24
2013-06-11 20:45:00,100,100,100,23.71,24.02,23.24
2013-06-11 21:00:00,100,100,100,23.71,24.05,23.24
2013-06-11 21:15:00,100,100,100,23.71,24.05,23.24
2013-06-11 21:30:00,100,100,100,23.71,24.03,23.24
2013-06-11 21:45:00,100,100,100,23.71,24.03,23.24
2013-06-11 22:00:00,100,100,100,23.71,24.05,23.24
2013-06-11 22:15:00,100,100,100,23.71,24.05,23.24
2013-06-11 22:30:00,100,100,100,23.71,24.03,23.24
2013-06-11 22:45:00,100,100,100,23.71,24.03,23.24
2013-06-11 23:00:00,100,100,100,23.71,24.05,23.24
2013-06-11 23:15:00,100,100,100,23.71,24.05,23.21
2013-06-11 23:30:00,100,100,100,23.71,24.05,23.24
2013-06-11 23:45:00,100,100,100,23.71,24.05,23.21
2013-06-12 00:00:00,100,100,100,23.71,24.05,23.18
2013-06-12 00:15:00,100,100,100,23.71,24.05,23.18
2013-06-12 00:30:00,100,100,100,23.71,24.05,23.18
