"date","SlrW","WS_ms","WindDir","RH","Rain_mm_Tot","Pressure","Temp"
2013-06-11 00:00:00,0,0.269,73.07,99.2,0,996.6,18.94
2013-06-11 00:15:00,0,0.373,75.02,99.3,0,996.5,18.81
2013-06-11 00:30:00,0,0.598,84.3,99.2,0,996.3,18.73
2013-06-11 00:45:00,0,0.438,70.92,99,0,996,18.73
2013-06-11 01:00:00,0,0.635,74.38,99,0,996,18.7
2013-06-11 01:15:00,0,0.443,64.95,99.1,0,995.8,18.67
2013-06-11 01:30:00,0,0.912,80.6,97.3,0,995.8,18.66
2013-06-11 01:45:00,0,0.453,70.03,93.7,0,995.8,18.84
2013-06-11 02:00:00,0,0.776,93.8,92,0,995.6,19.01
2013-06-11 02:15:00,0,0.662,80.3,92.4,0,995.6,18.96
2013-06-11 02:30:00,0,0.527,65.34,91.9,0,995.4,19.1
2013-06-11 02:45:00,0,0.247,59.12,92.7,0,995.6,18.97
2013-06-11 03:00:00,0,0.301,52.1,93.1,0,995.5,18.98
2013-06-11 03:15:00,0,0.271,39.74,93.6,0,995.1,18.85
2013-06-11 03:30:00,0,0.266,51.16,93.7,0,995.1,18.9
2013-06-11 03:45:00,0,0.213,181.4,94.7,0,995.1,18.87
2013-06-11 04:00:00,0,0.23,142.9,94.7,0,995.1,18.83
2013-06-11 04:15:00,0,0.337,107.1,93.4,0,995.1,18.65
2013-06-11 04:30:00,0,0.628,64.46,92.3,0,994.9,18.62
2013-06-11 04:45:00,0,0.767,75.82,92.7,0,995.1,18.54
2013-06-11 05:00:00,0,0.476,85.6,92.9,0,995.1,18.75
2013-06-11 05:15:00,0,0.383,59.19,93.2,0,995.1,18.65
2013-06-11 05:30:00,0,0.375,105.2,92.8,0,995.3,18.75
2013-06-11 05:45:00,0,0.337,84.1,93.6,0,995.6,18.64
2013-06-11 06:00:00,3.161,0.304,182.3,94.3,0,995.8,18.82
2013-06-11 06:15:00,7.902,0.223,143.9,97.2,0,995.8,18.76
2013-06-11 06:30:00,12.53,0.425,166,98.8,0,996,18.87
2013-06-11 06:45:00,27.09,0.309,127.5,99.3,0,996.1,18.99
2013-06-11 07:00:00,59.37,0.386,148,99,0,996.6,19.22
